make,year,category,odometer,city,state,price,link
Freightliner M2 106 ,2013,Day Cab,"144,000",Richland,MS,"44,900",https://www.soarr.com/for-sale/trucks/specs/16138675/2013-Freightliner-M2-106
Western Star 4900EX ,2011,Sleeper Truck,"550,000",Richland,MS,"65,000",https://www.soarr.com/for-sale/trucks/specs/16163307/2011-Western-Star-4900EX
Travis 30' DUMP ,2011,Day Cab,Condition:,Richland,MS,"47,900",https://www.soarr.com/for-sale/trucks/specs/16163306/2011-Travis-30'-DUMP
Travis 30' DUMP ,2011,Day Cab,Condition:,Richland,MS,"47,900",https://www.soarr.com/for-sale/trucks/specs/16163305/2011-Travis-30'-DUMP
Travis 30' DUMP ,2011,Day Cab,Condition:,Richland,MS,"47,900",https://www.soarr.com/for-sale/trucks/specs/16163304/2011-Travis-30'-DUMP
Freightliner OTHER ,2020,Sleeper Truck,"509,783",West Memphis,AR,"104,546",https://www.soarr.com/for-sale/trucks/specs/16198871/2020-Freightliner-OTHER
Freightliner OTHER ,2019,Sleeper Truck,"637,859",West Memphis,AR,"83,200",https://www.soarr.com/for-sale/trucks/specs/16198873/2019-Freightliner-OTHER
Freightliner OTHER ,2019,Sleeper Truck,"630,721",West Memphis,AR,"83,200",https://www.soarr.com/for-sale/trucks/specs/16201040/2019-Freightliner-OTHER
Kenworth OTHER ,2018,Sleeper Truck,"382,785",West Memphis,AR,"76,374",https://www.soarr.com/for-sale/trucks/specs/16201566/2018-Kenworth-OTHER
Freightliner Cascadia ,2018,Sleeper Truck,"491,199",West Memphis,AR,"81,500",https://www.soarr.com/for-sale/trucks/specs/16201895/2018-Freightliner-Cascadia
Freightliner Cascadia ,2018,Sleeper Truck,"435,778",West Memphis,AR,"85,000",https://www.soarr.com/for-sale/trucks/specs/16201568/2018-Freightliner-Cascadia
Freightliner Cascadia ,2018,Sleeper Truck,"685,685",West Memphis,AR,"65,500",https://www.soarr.com/for-sale/trucks/specs/16198870/2018-Freightliner-Cascadia
Freightliner Cascadia ,2018,Sleeper Truck,"645,510",West Memphis,AR,"74,000",https://www.soarr.com/for-sale/trucks/specs/16198866/2018-Freightliner-Cascadia
Freightliner Cascadia ,2018,Sleeper Truck,"605,097",West Memphis,AR,"74,000",https://www.soarr.com/for-sale/trucks/specs/16199706/2018-Freightliner-Cascadia
Freightliner Cascadia ,2018,Sleeper Truck,"582,671",West Memphis,AR,"77,000",https://www.soarr.com/for-sale/trucks/specs/16201567/2018-Freightliner-Cascadia
Freightliner Cascadia ,2018,Sleeper Truck,"603,964",West Memphis,AR,"74,000",https://www.soarr.com/for-sale/trucks/specs/16202221/2018-Freightliner-Cascadia
Freightliner Cascadia ,2018,Sleeper Truck,"579,397",West Memphis,AR,"78,000",https://www.soarr.com/for-sale/trucks/specs/16201039/2018-Freightliner-Cascadia
Freightliner Cascadia ,2018,Sleeper Truck,"632,486",West Memphis,AR,"75,500",https://www.soarr.com/for-sale/trucks/specs/16199705/2018-Freightliner-Cascadia
Freightliner Cascadia ,2018,Sleeper Truck,"608,463",West Memphis,AR,"74,000",https://www.soarr.com/for-sale/trucks/specs/16201896/2018-Freightliner-Cascadia
Freightliner Cascadia ,2018,Sleeper Truck,"608,158",West Memphis,AR,"74,500",https://www.soarr.com/for-sale/trucks/specs/16198864/2018-Freightliner-Cascadia
Freightliner Cascadia ,2018,Sleeper Truck,"622,677",West Memphis,AR,"74,000",https://www.soarr.com/for-sale/trucks/specs/16202222/2018-Freightliner-Cascadia
Freightliner Cascadia ,2017,Sleeper Truck,"636,419",West Memphis,AR,"61,500",https://www.soarr.com/for-sale/trucks/specs/16202223/2017-Freightliner-Cascadia
International CV515 ,2022,Cab & Chassis,537,Greer,SC,"70,950",https://www.soarr.com/for-sale/trucks/specs/16138768/2022-International-CV515
International 4300 ,2018,Box Truck,"179,963",Greer,SC,"77,500",https://www.soarr.com/for-sale/trucks/specs/16191253/2018-International-4300
Renegade Verona 36VSB ,2023,Vocational,Condition:,Georgetown,KY,"388,700",https://www.soarr.com/for-sale/trucks/specs/16127695/2023-Renegade-Verona-36VSB
Hino L7 ,2023,Roll-Off,490,Clarksville,IN,0,https://www.soarr.com/for-sale/trucks/specs/16195641/2023-Hino-L7
Renegade Verona 40VBH ,2023,Vocational,Condition:,Georgetown,KY,"393,250",https://www.soarr.com/for-sale/trucks/specs/16127692/2023-Renegade-Verona-40VBH
Volvo VNL64T860 ,2020,Sleeper Truck,"502,347",Clarksville,IN,"118,900",https://www.soarr.com/for-sale/trucks/specs/16177936/2020-Volvo-VNL64T860
Freightliner Cascadia ,2019,Sleeper Truck,"454,362",Clarksville,IN,"99,900",https://www.soarr.com/for-sale/trucks/specs/16183436/2019-Freightliner-Cascadia
Mack AN64T M742 ,2019,Sleeper Truck,"352,165",Clarksville,IN,"109,900",https://www.soarr.com/for-sale/trucks/specs/16183902/2019-Mack-AN64T-M742
Volvo VNL64T860 ,2019,Sleeper Truck,"516,617",Clarksville,IN,"107,900",https://www.soarr.com/for-sale/trucks/specs/16180161/2019-Volvo-VNL64T860
Volvo VNL64T740 ,2019,Sleeper Truck,"350,305",Clarksville,IN,"119,900",https://www.soarr.com/for-sale/trucks/specs/16188864/2019-Volvo-VNL64T740
Volvo VNL64T670 ,2019,Sleeper Truck,"516,297",Clarksville,IN,"89,900",https://www.soarr.com/for-sale/trucks/specs/16183898/2019-Volvo-VNL64T670
Volvo VNL64T860 ,2019,Sleeper Truck,"518,286",Clarksville,IN,"107,900",https://www.soarr.com/for-sale/trucks/specs/16179006/2019-Volvo-VNL64T860
International 4300 SBA 4X2 ,2018,Box Van,"177,104",Georgetown,KY,"73,000",https://www.soarr.com/for-sale/trucks/specs/16178011/2018-International-4300-SBA-4X2
International 4300 SBA 4X2 ,2017,Cab & Chassis,"104,000",Georgetown,KY,"60,000",https://www.soarr.com/for-sale/trucks/specs/15937558/2017-International-4300-SBA-4X2
Volvo OTHER ,2016,Sleeper Truck,"711,583",New Orleans,LA,"52,771",https://www.soarr.com/for-sale/trucks/specs/16198902/2016-Volvo-OTHER
International 4300 SBA 4X2 ,2016,Cab & Chassis,"123,000",Georgetown,KY,"72,500",https://www.soarr.com/for-sale/trucks/specs/14316754/2016-International-4300-SBA-4X2
Peterbilt 579 ,2016,Sleeper Truck,Condition:,Memphis,IN,0,https://www.soarr.com/for-sale/trucks/specs/16066147/2016-Peterbilt-579
International 4300 SBA 4X2 ,2016,Cab & Chassis,"130,000",Georgetown,KY,"72,500",https://www.soarr.com/for-sale/trucks/specs/14316755/2016-International-4300-SBA-4X2
Freightliner M2 106 ,2012,Box Van,"387,929",Georgetown,KY,"10,500",https://www.soarr.com/for-sale/trucks/specs/16190790/2012-Freightliner-M2-106
Peterbilt 379-119 ,2007,Sleeper Truck,Condition:,Memphis,IN,0,https://www.soarr.com/for-sale/trucks/specs/16181673/2007-Peterbilt-379-119
Kenworth W900L ,2007,Sleeper Truck,"1,323,267",Memphis,IN,0,https://www.soarr.com/for-sale/trucks/specs/16061841/2007-Kenworth-W900L
Peterbilt 379-119 ,2007,Sleeper Truck,"1,319,358",Memphis,IN,0,https://www.soarr.com/for-sale/trucks/specs/16156259/2007-Peterbilt-379-119
Peterbilt 379-127 ,2006,Sleeper Truck,Condition:,Memphis,IN,0,https://www.soarr.com/for-sale/trucks/specs/16077144/2006-Peterbilt-379-127
Kenworth T600 ,2005,Sleeper Truck,Condition:,Memphis,IN,0,https://www.soarr.com/for-sale/trucks/specs/16181678/2005-Kenworth-T600
Kenworth W900L ,2005,Sleeper Truck,Condition:,Memphis,IN,0,https://www.soarr.com/for-sale/trucks/specs/16181651/2005-Kenworth-W900L
Mack CX616 ,2004,Sleeper Truck,"987,358",Memphis,IN,0,https://www.soarr.com/for-sale/trucks/specs/16181668/2004-Mack-CX616
Peterbilt 385 ,2003,Sleeper Truck,"428,260",Memphis,IN,0,https://www.soarr.com/for-sale/trucks/specs/10021381/2003-Peterbilt-385
Kenworth W900L ,2003,Sleeper Truck,"803,096",Memphis,IN,0,https://www.soarr.com/for-sale/trucks/specs/11225255/2003-Kenworth-W900L
Western Star 4964EX ,2001,Sleeper Truck,"1,345,896",Memphis,IN,0,https://www.soarr.com/for-sale/trucks/specs/5290913/2001-Western-Star-4964EX
Peterbilt 378 Daycab ,1999,Day Cab,"610,864",Memphis,IN,0,https://www.soarr.com/for-sale/trucks/specs/16181654/1999-Peterbilt-378-Daycab
Freightliner FLD120 ,1998,Day Cab,"132,098",Memphis,IN,0,https://www.soarr.com/for-sale/trucks/specs/16192166/1998-Freightliner-FLD120
Kenworth W900L ,1998,Sleeper Truck,"306,246",Memphis,IN,0,https://www.soarr.com/for-sale/trucks/specs/6395243/1998-Kenworth-W900L
International CV515 ,2022,Cab & Chassis,"1,492",Columbia,SC,"99,975",https://www.soarr.com/for-sale/trucks/specs/16126677/2022-International-CV515
International CV515 ,2022,Flatbed,517,Columbia,SC,"86,250",https://www.soarr.com/for-sale/trucks/specs/16126680/2022-International-CV515
International CV515 ,2022,Flatbed,520,Columbia,SC,"86,250",https://www.soarr.com/for-sale/trucks/specs/16138767/2022-International-CV515
International LT625 ,2019,Sleeper Truck,"366,199",Columbia,SC,"115,000",https://www.soarr.com/for-sale/trucks/specs/16198965/2019-International-LT625
International 4000 ,2018,Box Truck,"170,582",Columbia,SC,"77,500",https://www.soarr.com/for-sale/trucks/specs/16191248/2018-International-4000
International 4300 ,2018,Box Truck,"198,293",Florence,SC,"77,500",https://www.soarr.com/for-sale/trucks/specs/16191250/2018-International-4300
International 4300 ,2016,Cab & Chassis,"136,456",Columbia,SC,"56,500",https://www.soarr.com/for-sale/trucks/specs/16191259/2016-International-4300
International 7400 6X4 ,2014,Cab & Chassis,"39,794",Florence,SC,"55,000",https://www.soarr.com/for-sale/trucks/specs/16191260/2014-International-7400-6X4
Mack AN64T M742 ,2022,Day Cab,Condition:,Charlotte,NC,0,https://www.soarr.com/for-sale/trucks/specs/16119440/2022-Mack-AN64T-M742
Mack MD642 ,2022,Day Cab,Condition:,Charlotte,NC,0,https://www.soarr.com/for-sale/trucks/specs/16128127/2022-Mack-MD642
Mack AN64T M742 ,2022,Day Cab,Condition:,Charlotte,NC,0,https://www.soarr.com/for-sale/trucks/specs/16120665/2022-Mack-AN64T-M742
Mack PI64T M778 ,2022,Day Cab,Condition:,Charlotte,NC,0,https://www.soarr.com/for-sale/trucks/specs/16113168/2022-Mack-PI64T-M778
Mack AN64T M742 ,2022,Day Cab,Condition:,Charlotte,NC,0,https://www.soarr.com/for-sale/trucks/specs/16120667/2022-Mack-AN64T-M742
Mack AN64T M742 ,2022,Day Cab,Condition:,Charlotte,NC,0,https://www.soarr.com/for-sale/trucks/specs/16119442/2022-Mack-AN64T-M742
Mack AN64T M742 ,2022,Day Cab,Condition:,Charlotte,NC,0,https://www.soarr.com/for-sale/trucks/specs/16120666/2022-Mack-AN64T-M742
Mack AN64T M742 ,2022,Day Cab,Condition:,Charlotte,NC,0,https://www.soarr.com/for-sale/trucks/specs/16119441/2022-Mack-AN64T-M742
Mack MD742 ,2021,Day Cab,Condition:,Charlotte,NC,0,https://www.soarr.com/for-sale/trucks/specs/16145133/2021-Mack-MD742
Freightliner OTHER ,2021,Sleeper Truck,"537,621",Charlotte,NC,"108,294",https://www.soarr.com/for-sale/trucks/specs/16201877/2021-Freightliner-OTHER
Freightliner OTHER ,2021,Sleeper Truck,"459,290",Charlotte,NC,"109,794",https://www.soarr.com/for-sale/trucks/specs/16198745/2021-Freightliner-OTHER
Mack GR64F M359 ,2020,Day Cab,733,Charlotte,NC,0,https://www.soarr.com/for-sale/trucks/specs/16113146/2020-Mack-GR64F-M359
Mack AN64T M742 ,2020,Sleeper Truck,"165,382",Charlotte,NC,"139,900",https://www.soarr.com/for-sale/trucks/specs/16194942/2020-Mack-AN64T-M742
Freightliner OTHER ,2019,Sleeper Truck,"591,352",Charlotte,NC,"86,700",https://www.soarr.com/for-sale/trucks/specs/16201542/2019-Freightliner-OTHER
Mack AN64T M742 ,2019,Sleeper Truck,"523,596",Charlotte,NC,"92,900",https://www.soarr.com/for-sale/trucks/specs/16177937/2019-Mack-AN64T-M742
Volvo VNL64T760 ,2019,Sleeper Truck,"511,265",Charlotte,NC,"99,900",https://www.soarr.com/for-sale/trucks/specs/16179578/2019-Volvo-VNL64T760
Freightliner Cascadia ,2019,Sleeper Truck,"460,676",Charlotte,NC,"109,000",https://www.soarr.com/for-sale/trucks/specs/16190968/2019-Freightliner-Cascadia
Peterbilt 579 ,2019,Sleeper Truck,"397,894",Charlotte,NC,"99,900",https://www.soarr.com/for-sale/trucks/specs/16176993/2019-Peterbilt-579
Freightliner Cascadia ,2018,Sleeper Truck,"682,790",Charlotte,NC,"65,500",https://www.soarr.com/for-sale/trucks/specs/16201014/2018-Freightliner-Cascadia
Freightliner Cascadia ,2018,Sleeper Truck,"628,841",Charlotte,NC,"74,000",https://www.soarr.com/for-sale/trucks/specs/16198742/2018-Freightliner-Cascadia
Freightliner Cascadia ,2018,Sleeper Truck,"561,963",Charlotte,NC,"77,000",https://www.soarr.com/for-sale/trucks/specs/16201018/2018-Freightliner-Cascadia
Freightliner Cascadia ,2018,Sleeper Truck,"665,335",Charlotte,NC,"65,500",https://www.soarr.com/for-sale/trucks/specs/16198741/2018-Freightliner-Cascadia
Freightliner Cascadia ,2018,Sleeper Truck,"761,319",Charlotte,NC,"54,500",https://www.soarr.com/for-sale/trucks/specs/16201010/2018-Freightliner-Cascadia
Freightliner Cascadia ,2017,Sleeper Truck,"649,663",Charlotte,NC,"61,500",https://www.soarr.com/for-sale/trucks/specs/16201545/2017-Freightliner-Cascadia
Freightliner Cascadia ,2017,Sleeper Truck,"633,364",Charlotte,NC,"61,500",https://www.soarr.com/for-sale/trucks/specs/16201540/2017-Freightliner-Cascadia
Freightliner Cascadia ,2017,Sleeper Truck,"599,324",Charlotte,NC,"64,500",https://www.soarr.com/for-sale/trucks/specs/16201015/2017-Freightliner-Cascadia
Freightliner Cascadia ,2017,Sleeper Truck,"523,042",Charlotte,NC,"67,500",https://www.soarr.com/for-sale/trucks/specs/16202201/2017-Freightliner-Cascadia
Kenworth OTHER ,2017,Sleeper Truck,"578,041",Charlotte,NC,"63,410",https://www.soarr.com/for-sale/trucks/specs/16201541/2017-Kenworth-OTHER
Freightliner Cascadia ,2017,Sleeper Truck,"591,664",Charlotte,NC,"64,500",https://www.soarr.com/for-sale/trucks/specs/16201543/2017-Freightliner-Cascadia
Freightliner Cascadia ,2017,Sleeper Truck,"597,704",Charlotte,NC,"64,500",https://www.soarr.com/for-sale/trucks/specs/16201017/2017-Freightliner-Cascadia
Peterbilt 579 ,2021,Sleeper Truck,"451,987",St. Louis,MO,0,https://www.soarr.com/for-sale/trucks/specs/16179329/2021-Peterbilt-579
Kenworth T680 ,2021,Sleeper Truck,"500,374",St. Louis,MO,0,https://www.soarr.com/for-sale/trucks/specs/16191237/2021-Kenworth-T680
Kenworth T680 ,2021,Sleeper Truck,"421,853",St. Louis,MO,0,https://www.soarr.com/for-sale/trucks/specs/16191239/2021-Kenworth-T680
Peterbilt 579 ,2021,Sleeper Truck,"332,545",St. Louis,MO,0,https://www.soarr.com/for-sale/trucks/specs/16185225/2021-Peterbilt-579
Isuzu NPRHD ,2020,Hook Lift,Condition:,St. Louis,MO,0,https://www.soarr.com/for-sale/trucks/specs/16119941/2020-Isuzu-NPRHD
Peterbilt 579 ,2020,Sleeper Truck,"329,970",St. Louis,MO,0,https://www.soarr.com/for-sale/trucks/specs/16188173/2020-Peterbilt-579
Peterbilt 579 ,2019,Sleeper Truck,"421,730",Troy,IL,"90,950",https://www.soarr.com/for-sale/trucks/specs/16199084/2019-Peterbilt-579
Peterbilt 579 ,2019,Sleeper Truck,"421,155",Troy,IL,"90,950",https://www.soarr.com/for-sale/trucks/specs/16199085/2019-Peterbilt-579
Kenworth T680 ,2019,Sleeper Truck,"511,605",Troy,IL,"94,950",https://www.soarr.com/for-sale/trucks/specs/16195907/2019-Kenworth-T680
International LT ,2019,Sleeper Truck,"352,288",Troy,IL,"91,950",https://www.soarr.com/for-sale/trucks/specs/16200758/2019-International-LT
Volvo VNL760 ,2019,Sleeper Truck,"655,994",Troy,IL,"79,950",https://www.soarr.com/for-sale/trucks/specs/16196876/2019-Volvo-VNL760
Mack CXU613 ,2018,Sleeper Truck,"684,562",Troy,IL,"67,950",https://www.soarr.com/for-sale/trucks/specs/16199080/2018-Mack-CXU613
Freightliner CASCADIA EVOLUTION ,2018,Sleeper Truck,"541,985",Troy,IL,"84,950",https://www.soarr.com/for-sale/trucks/specs/16199747/2018-Freightliner-CASCADIA-EVOLUTION
Kenworth T680 ,2018,Sleeper Truck,"482,177",Troy,IL,"85,950",https://www.soarr.com/for-sale/trucks/specs/16200737/2018-Kenworth-T680
Volvo VNL62T670 ,2018,Sleeper Truck,"605,379",Troy,IL,"72,950",https://www.soarr.com/for-sale/trucks/specs/16193903/2018-Volvo-VNL62T670
Kenworth T680 ,2018,Sleeper Truck,"451,756",Troy,IL,"84,950",https://www.soarr.com/for-sale/trucks/specs/16197110/2018-Kenworth-T680
Peterbilt 579 ,2018,Sleeper Truck,"461,286",St. Louis,MO,0,https://www.soarr.com/for-sale/trucks/specs/16190585/2018-Peterbilt-579
Kenworth T680 ,2018,Sleeper Truck,"480,176",Troy,IL,"83,950",https://www.soarr.com/for-sale/trucks/specs/16197105/2018-Kenworth-T680
Freightliner CASCADIA EVOLUTION ,2018,Sleeper Truck,"475,125",Troy,IL,"81,950",https://www.soarr.com/for-sale/trucks/specs/16199071/2018-Freightliner-CASCADIA-EVOLUTION
Freightliner CASCADIA EVOLUTION ,2018,Sleeper Truck,"495,025",Troy,IL,"86,950",https://www.soarr.com/for-sale/trucks/specs/16199742/2018-Freightliner-CASCADIA-EVOLUTION
Freightliner CASCADIA EVOLUTION ,2017,Sleeper Truck,"608,040",Troy,IL,"72,950",https://www.soarr.com/for-sale/trucks/specs/16198571/2017-Freightliner-CASCADIA-EVOLUTION
Freightliner CASCADIA EVOLUTION ,2017,Sleeper Truck,"610,265",Troy,IL,"72,950",https://www.soarr.com/for-sale/trucks/specs/16200747/2017-Freightliner-CASCADIA-EVOLUTION
Freightliner CASCADIA EVOLUTION ,2017,Sleeper Truck,"583,580",Troy,IL,"79,950",https://www.soarr.com/for-sale/trucks/specs/16200746/2017-Freightliner-CASCADIA-EVOLUTION
Freightliner CASCADIA ,2017,Sleeper Truck,"587,500",Troy,IL,"72,950",https://www.soarr.com/for-sale/trucks/specs/16195534/2017-Freightliner-CASCADIA
Freightliner CASCADIA EVOLUTION ,2017,Sleeper Truck,"574,093",Troy,IL,"72,950",https://www.soarr.com/for-sale/trucks/specs/16195926/2017-Freightliner-CASCADIA-EVOLUTION
Freightliner CASCADIA EVOLUTION ,2017,Sleeper Truck,"565,072",Troy,IL,"72,950",https://www.soarr.com/for-sale/trucks/specs/16199773/2017-Freightliner-CASCADIA-EVOLUTION
Freightliner CASCADIA EVOLUTION ,2017,Sleeper Truck,"599,775",Troy,IL,"73,950",https://www.soarr.com/for-sale/trucks/specs/16197120/2017-Freightliner-CASCADIA-EVOLUTION
Freightliner CASCADIA EVOLUTION ,2017,Sleeper Truck,"571,419",Troy,IL,"72,950",https://www.soarr.com/for-sale/trucks/specs/16195925/2017-Freightliner-CASCADIA-EVOLUTION
Freightliner CASCADIA EVOLUTION ,2017,Sleeper Truck,"600,132",Troy,IL,"72,950",https://www.soarr.com/for-sale/trucks/specs/16198570/2017-Freightliner-CASCADIA-EVOLUTION
Volvo VNL630 ,2017,Sleeper Truck,"622,102",Troy,IL,"64,950",https://www.soarr.com/for-sale/trucks/specs/16199281/2017-Volvo-VNL630
Freightliner CASCADIA EVOLUTION ,2017,Sleeper Truck,"588,099",Troy,IL,"69,950",https://www.soarr.com/for-sale/trucks/specs/16195927/2017-Freightliner-CASCADIA-EVOLUTION
Volvo VNL630 ,2017,Sleeper Truck,"574,000",Troy,IL,"68,950",https://www.soarr.com/for-sale/trucks/specs/16201151/2017-Volvo-VNL630
Volvo VNL670 ,2016,Sleeper Truck,"716,516",Troy,IL,"47,950",https://www.soarr.com/for-sale/trucks/specs/16199817/2016-Volvo-VNL670
Isuzu NPRHD ,2016,Moving Van,"88,529",St. Louis,MO,0,https://www.soarr.com/for-sale/trucks/specs/16201973/2016-Isuzu-NPRHD
Hino 268A ,2016,Moving Van,"107,265",St. Louis,MO,0,https://www.soarr.com/for-sale/trucks/specs/16202073/2016-Hino-268A
Freightliner CASCADIA EVOLUTION ,2016,Sleeper Truck,"691,307",Troy,IL,"54,950",https://www.soarr.com/for-sale/trucks/specs/16199735/2016-Freightliner-CASCADIA-EVOLUTION
Hino 268A ,2016,Moving Van,"149,654",St. Louis,MO,0,https://www.soarr.com/for-sale/trucks/specs/16201971/2016-Hino-268A
Kenworth T680 ,2016,Sleeper Truck,"638,449",Troy,IL,"65,950",https://www.soarr.com/for-sale/trucks/specs/16197554/2016-Kenworth-T680
International 4300 ,2015,Box Van,"296,000",Troy,IL,"29,950",https://www.soarr.com/for-sale/trucks/specs/16195726/2015-International-4300
International Prostar ,2015,Sleeper Truck,"570,080",Troy,IL,"52,950",https://www.soarr.com/for-sale/trucks/specs/16199275/2015-International-Prostar
OTHER OTHER ,2015,Other,"19,468",Troy,IL,"24,950",https://www.soarr.com/for-sale/trucks/specs/16201346/2015-OTHER-OTHER
International LoneStar ,2015,Sleeper Truck,"694,828",Troy,IL,"54,950",https://www.soarr.com/for-sale/trucks/specs/16199287/2015-International-LoneStar
Volvo VNL430 ,2014,Sleeper Truck,"654,278",Troy,IL,"44,950",https://www.soarr.com/for-sale/trucks/specs/16201152/2014-Volvo-VNL430
Freightliner CASCADIA ,2014,Expeditor,"627,539",Troy,IL,"39,950",https://www.soarr.com/for-sale/trucks/specs/16195929/2014-Freightliner-CASCADIA
International CV515 ,2022,Cab & Chassis,531,Charleston,SC,"70,950",https://www.soarr.com/for-sale/trucks/specs/16138766/2022-International-CV515
International 4300 ,2019,Cab & Chassis,"266,571",Conway,SC,"81,000",https://www.soarr.com/for-sale/trucks/specs/16191252/2019-International-4300
International 4000 ,2018,Box Truck,"176,256",Conway,SC,"77,500",https://www.soarr.com/for-sale/trucks/specs/16191249/2018-International-4000
International 4300 LP ,2017,Day Cab,"261,914",Conway,SC,"59,500",https://www.soarr.com/for-sale/trucks/specs/16191262/2017-International-4300-LP
International 4300 LP 4X2 ,2017,Day Cab,"268,825",Charleston,SC,"59,500",https://www.soarr.com/for-sale/trucks/specs/16191256/2017-International-4300-LP-4X2
Volvo VNR640 ,2020,Sleeper Truck,"295,208",Cincinnati,OH,"114,950",https://www.soarr.com/for-sale/trucks/specs/16199824/2020-Volvo-VNR640
Volvo VNL760 ,2020,Sleeper Truck,"555,268",Cincinnati,OH,"99,950",https://www.soarr.com/for-sale/trucks/specs/16198707/2020-Volvo-VNL760
Volvo VNL760 ,2020,Sleeper Truck,"593,901",Cincinnati,OH,"99,950",https://www.soarr.com/for-sale/trucks/specs/16198708/2020-Volvo-VNL760
Volvo VNL760 ,2019,Sleeper Truck,"654,850",Cincinnati,OH,"79,950",https://www.soarr.com/for-sale/trucks/specs/16196872/2019-Volvo-VNL760
Kenworth T680 ,2019,Sleeper Truck,"550,814",Cincinnati,OH,"97,950",https://www.soarr.com/for-sale/trucks/specs/16197562/2019-Kenworth-T680
Freightliner CASCADEVO1 ,2019,Sleeper Truck,"476,139",Cincinnati,OH,"95,950",https://www.soarr.com/for-sale/trucks/specs/16200713/2019-Freightliner-CASCADEVO1
Kenworth T680 ,2019,Sleeper Truck,"437,580",Cincinnati,OH,"107,950",https://www.soarr.com/for-sale/trucks/specs/16198645/2019-Kenworth-T680
Freightliner CASCADEVO1 ,2019,Sleeper Truck,"551,223",Cincinnati,OH,"91,950",https://www.soarr.com/for-sale/trucks/specs/16198653/2019-Freightliner-CASCADEVO1
Kenworth T680 ,2019,Sleeper Truck,"439,671",Cincinnati,OH,"107,950",https://www.soarr.com/for-sale/trucks/specs/16198582/2019-Kenworth-T680
Kenworth T680 ,2019,Sleeper Truck,"534,339",Cincinnati,OH,"92,950",https://www.soarr.com/for-sale/trucks/specs/16195914/2019-Kenworth-T680
Freightliner CASCADEVO1 ,2019,Sleeper Truck,"439,313",Cincinnati,OH,"112,950",https://www.soarr.com/for-sale/trucks/specs/16195613/2019-Freightliner-CASCADEVO1
Kenworth T680 ,2019,Sleeper Truck,"439,254",Cincinnati,OH,"109,950",https://www.soarr.com/for-sale/trucks/specs/16198680/2019-Kenworth-T680
Volvo VNL760 ,2019,Sleeper Truck,"486,059",Cincinnati,OH,"94,950",https://www.soarr.com/for-sale/trucks/specs/16179890/2019-Volvo-VNL760
Freightliner CASCADEVO1 ,2019,Sleeper Truck,"457,601",Cincinnati,OH,"109,950",https://www.soarr.com/for-sale/trucks/specs/16199850/2019-Freightliner-CASCADEVO1
Freightliner CASCADEVO1 ,2019,Sleeper Truck,"420,684",Cincinnati,OH,"112,950",https://www.soarr.com/for-sale/trucks/specs/16195614/2019-Freightliner-CASCADEVO1
Volvo VNL760 ,2019,Sleeper Truck,"628,202",Cincinnati,OH,"79,950",https://www.soarr.com/for-sale/trucks/specs/16196875/2019-Volvo-VNL760
Kenworth T680 ,2019,Sleeper Truck,"365,877",Cincinnati,OH,"94,950",https://www.soarr.com/for-sale/trucks/specs/16178472/2019-Kenworth-T680
Freightliner CASCADEVO1 ,2018,Sleeper Truck,"607,140",Cincinnati,OH,"74,950",https://www.soarr.com/for-sale/trucks/specs/16196860/2018-Freightliner-CASCADEVO1
Freightliner CASCADIA EVOLUTION ,2018,Sleeper Truck,"595,280",Cincinnati,OH,"82,950",https://www.soarr.com/for-sale/trucks/specs/16199765/2018-Freightliner-CASCADIA-EVOLUTION
Kenworth T680 ,2018,Sleeper Truck,"532,515",Cincinnati,OH,"84,950",https://www.soarr.com/for-sale/trucks/specs/16180369/2018-Kenworth-T680
Volvo VNL670 ,2018,Sleeper Truck,"550,496",Cincinnati,OH,"74,950",https://www.soarr.com/for-sale/trucks/specs/16191135/2018-Volvo-VNL670
Peterbilt 567 ,2018,Sleeper Truck,"517,488",Cincinnati,OH,"93,950",https://www.soarr.com/for-sale/trucks/specs/16201606/2018-Peterbilt-567
Volvo VNL670 ,2018,Sleeper Truck,"411,612",Cincinnati,OH,"99,950",https://www.soarr.com/for-sale/trucks/specs/16191002/2018-Volvo-VNL670
Kenworth T680 ,2018,Sleeper Truck,"404,265",Cincinnati,OH,"87,950",https://www.soarr.com/for-sale/trucks/specs/16197087/2018-Kenworth-T680
Kenworth T680 ,2018,Sleeper Truck,"412,798",Cincinnati,OH,"87,950",https://www.soarr.com/for-sale/trucks/specs/16197082/2018-Kenworth-T680
Kenworth T680 ,2018,Sleeper Truck,"433,856",Cincinnati,OH,"79,950",https://www.soarr.com/for-sale/trucks/specs/16184375/2018-Kenworth-T680
Volvo VNL630 ,2018,Sleeper Truck,"558,257",Cincinnati,OH,"72,950",https://www.soarr.com/for-sale/trucks/specs/16199842/2018-Volvo-VNL630
Kenworth T680 ,2018,Sleeper Truck,"478,008",Cincinnati,OH,"93,950",https://www.soarr.com/for-sale/trucks/specs/16198655/2018-Kenworth-T680
Kenworth T680 ,2018,Sleeper Truck,"401,726",Cincinnati,OH,"87,950",https://www.soarr.com/for-sale/trucks/specs/16197085/2018-Kenworth-T680
Mack CXU613 ,2018,Sleeper Truck,"482,752",Cincinnati,OH,"76,950",https://www.soarr.com/for-sale/trucks/specs/16199065/2018-Mack-CXU613
